Name,Slug,Size,Series,Collection,Category,Finish,Application,Catalog,Has Matching Floor
Pokhareli Grey,pokhareli-grey,300×600 mm,Pokhareli,Pokhareli,Stone Look,Matt,Wall & Floor,spirit-of-nepal,
Waling Mosaic,waling-mosaic,300×600 mm,Pokhareli,Pokhareli,Stone Look,Matt,Wall & Floor,spirit-of-nepal,
Terracotta,terracotta,300×600 mm,Terracotta,,Ceramic,Matt,Elevation,wall-300x600,
Akshobhya Mandala,akshobhya-mandala,300×600 mm,Thangka Art,Thangka Art,Art,Glossy,Art Panel,spirit-of-nepal,
Green Tara Thangka,green-tara-thangka,300×600 mm,Thangka Art,Thangka Art,Art,Glossy,Art Panel,spirit-of-nepal,
Manjushri Thangka,manjushri-thangka,300×600 mm,Thangka Art,Thangka Art,Art,Glossy,Art Panel,spirit-of-nepal,
Canterbury Beige,canterbury-beige,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Godawari Marble Dotted Crema Viens,godawari-marble-dotted-crema-viens-1200,600×1200 mm,Carving,,Glazed Vitrified,Carving,Wall & Floor,eleganz-600x1200,
Pulpis Brown,pulpis-brown,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Pulpis Crema,pulpis-crema,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Pulpis Dark Grey,pulpis-dark-grey,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Pulpis Grey,pulpis-grey,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Pulpis Light Grey,pulpis-light-grey,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Sicilia Taupe,sicilia-taupe,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Staturio Phenix,staturio-phenix,600×1200 mm,Carving,,Glazed Vitrified,Carving,Wall & Floor,eleganz-600x1200,
Terrazzo White,terrazzo-white,600×1200 mm,Carving,,Glazed Vitrified,Carving,Floor,eleganz-600x1200,
Botticino,botticino-600x1200,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Fantasy Crema,fantasy-crema,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Fantasy Crema Decor,fantasy-crema-decor,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Wall & Floor,eleganz-600x1200,
Graphite Silver,graphite-silver,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Grey Imperial,grey-imperial,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Grey William,grey-william,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Madison Grey,madison-grey,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Natural Onyx,natural-onyx,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Rocado,rocado,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Rocado Decor,rocado-decor,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Wall & Floor,eleganz-600x1200,
Shimmer Onyx,shimmer-onyx,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Silken Gris,silken-gris,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Silken Gris Decor,silken-gris-decor,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Wall & Floor,eleganz-600x1200,
Statuario Antico,statuario-antico,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Statuario Antico Decor,statuario-antico-decor,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Wall & Floor,eleganz-600x1200,
Statuario Ice,statuario-ice,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Floor,eleganz-600x1200,
Statuario Ice Decor,statuario-ice-decor,600×1200 mm,Glossy,,Glazed Vitrified,Glossy,Wall & Floor,eleganz-600x1200,
Amazonite Blue,amazonite-blue,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Aqua Marine,aqua-marine,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Azure Aqua,azure-aqua,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Cardinal Brown,cardinal-brown,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Emerald Green,emerald-green,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Emperador Brown,emperador-brown-1200,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Floor,eleganz-600x1200,
Nero Marquina,nero-marquina,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Floor,eleganz-600x1200,
Obsidian Blue,obsidian-blue,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Portoro Black,portoro-black,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Sanibell White,sanibell-white,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Floor,eleganz-600x1200,
Volcanic Blue,volcanic-blue,600×1200 mm,High Gloss,,Glazed Vitrified,High Gloss,Wall & Floor,eleganz-600x1200,
Bedrock Brown,bedrock-brown,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Bedrock Brown Decor,bedrock-brown-decor,600×1200 mm,Matt,,Glazed Vitrified,Matt,Wall & Floor,eleganz-600x1200,
Bedrock Crema,bedrock-crema,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Bedrock Decor,bedrock-decor,600×1200 mm,Matt,,Glazed Vitrified,Matt,Wall & Floor,eleganz-600x1200,
Bedrock Light,bedrock-light,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Castle Beige,castle-beige,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Castle Beige Decor,castle-beige-decor,600×1200 mm,Matt,,Glazed Vitrified,Matt,Wall & Floor,eleganz-600x1200,
Castle Green,castle-green,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Castle Green Decor,castle-green-decor,600×1200 mm,Matt,,Glazed Vitrified,Matt,Wall & Floor,eleganz-600x1200,
Castle Grey,castle-grey,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Castle Grey Decor,castle-grey-decor,600×1200 mm,Matt,,Glazed Vitrified,Matt,Wall & Floor,eleganz-600x1200,
Castle Light Grey,castle-light-grey,600×1200 mm,Matt,,Glazed Vitrified,Matt,Floor,eleganz-600x1200,
Driftwood Classic,driftwood-classic-1200,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Cedar,woody-cedar,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Grey,woody-grey,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Teak,woody-teak,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Teak Decor,woody-teak-decor,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Walnut,woody-walnut,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Woody Walnut Decor,woody-walnut-decor,600×1200 mm,Matt,,Wood Look,Matt,Floor,eleganz-600x1200,
Armani Bianca,armani-bianca,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Armani Sun,armani-sun,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Armani White,armani-white,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Cloudy Beige,cloudy-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Cloudy Grey,cloudy-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Cloudy Marfil,cloudy-marfil,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Dyna Camel,dyna-camel,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Dyna Natural,dyna-natural,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Griege Beige,griege-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Griege Grey,griege-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Lenox Beige,lenox-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Lenox Grey,lenox-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Sand Beige,sand-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Beige,smoky-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Blue,smoky-blue,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Choco,smoky-choco,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Dark,smoky-dark,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Grey,smoky-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Smoky Taupe,smoky-taupe,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Venise,venise,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Vinyl Blue,vinyl-blue,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Vinyl Grey,vinyl-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Zotak Beige,zotak-beige,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Zotak Brown,zotak-brown,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Zotak Grey,zotak-grey,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Zotak Marfil,zotak-marfil,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Zotak Slate,zotak-slate,600×600 mm,Elegant,,Vitrified,Matt,Floor,vitrified-600x600,
Botticino,botticino,600×600 mm,Glossy,,Vitrified,Glossy,Floor,vitrified-600x600,
Breccia,breccia,600×600 mm,Glossy,,Vitrified,Glossy,Floor,vitrified-600x600,
Carrara,carrara,600×600 mm,Glossy,,Vitrified,Glossy,Floor,vitrified-600x600,
Emperador Brown,emperador-brown,600×600 mm,Glossy,,Vitrified,Glossy,Floor,vitrified-600x600,
Onyx,onyx,600×600 mm,Glossy,,Vitrified,Glossy,Floor,vitrified-600x600,
Tiama Teak,tiama-teak,600×600 mm,Glossy,,Vitrified,Satin,Floor,vitrified-600x600,
Godawari Marble Beige,godawari-marble-beige,600×600 mm,Godawari Marble,Godawari Marble,Marble Look,Glossy,Floor,spirit-of-nepal,
Godawari Marble Biege Viens,godawari-marble-biege-viens,600×600 mm,Godawari Marble,Godawari Marble,Marble Look,Carving,Floor,spirit-of-nepal,
Godawari Marble Dotted Crema,godawari-marble-dotted-crema,600×600 mm,Godawari Marble,Godawari Marble,Marble Look,Glossy,Floor,spirit-of-nepal,
Godawari Marble Dotted Crema Viens,godawari-marble-dotted-crema-viens,600×600 mm,Godawari Marble,Godawari Marble,Marble Look,Carving,Floor,spirit-of-nepal,
Marvel Bright,marvel-bright,600×600 mm,Marble,,Marble Look,Matt,Floor,vitrified-600x600,
Sigma Bianco Random,sigma-bianco-random,600×600 mm,Marble,,Marble Look,Matt,Floor,vitrified-600x600,
Sigma Gold,sigma-gold,600×600 mm,Marble,,Marble Look,Matt,Floor,vitrified-600x600,
Windy Smug,windy-smug,600×600 mm,Marble,,Marble Look,Matt,Floor,vitrified-600x600,
Cemento Slate,cemento-slate,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Cryptic Pink Endless,cryptic-pink-endless,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Dark Ivory,dark-ivory,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Echo Beige,echo-beige,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Echo Grey,echo-grey,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Plain Ivory,plain-ivory,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Plain White,plain-white,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Pleasant Beige,pleasant-beige,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Pleasant White,pleasant-white,600×600 mm,Monochrome,,Monochrome,Matt,Floor,vitrified-600x600,
Antiquity Biege,antiquity-biege,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Antiquity Grey,antiquity-grey,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Antiquity Multi,antiquity-multi,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Norwich Biege,norwich-biege,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Norwich Grey,norwich-grey,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Norwich Light Grey,norwich-light-grey,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Norwich Marfl,norwich-marfl,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Norwich Nero,norwich-nero,600×600 mm,Stone,,Stone Look,Matt,Floor,vitrified-600x600,
Bright Log,bright-log,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Driftwood Ash,driftwood-ash,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Driftwood Classic,driftwood-classic,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Driftwood Teak,driftwood-teak,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Edged Wood,edged-wood,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Eleganza Teak,eleganza-teak,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Lavish Log,lavish-log,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Magic Mocha,magic-mocha,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Marble Grey,marble-grey,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Marble Grid,marble-grid,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Matrix Pine,matrix-pine,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Noughts & Crosses,noughts-crosses,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Rav Brown,rav-brown,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Serendipity,serendipity,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Serendipity Multi,serendipity-multi,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Timbre Bliss,timbre-bliss,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Toscana Grid,toscana-grid,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Twizel Blue,twizel-blue,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
White Oak,white-oak,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Wooden Galaicha,wooden-galaicha,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Woody Bright,woody-bright,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Woody Foist,woody-foist,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Woody Impression,woody-impression,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
Woody Marble,woody-marble,600×600 mm,Wooden,,Wood Look,Matt,Floor,vitrified-600x600,
